symbol,company_name,currency_native,snapshot_price_usd
600519,Kweichow Moutai Co. Ltd.,CNY,205.00
601398,Industrial and Commercial Bank of China Ltd.,CNY,0.80
601857,PetroChina Company Ltd.,CNY,1.30
600036,China Merchants Bank Co. Ltd.,CNY,5.00
601288,Agricultural Bank of China Ltd.,CNY,0.70
600028,China Petroleum & Chemical Corporation,CNY,0.90
601988,Bank of China Ltd.,CNY,0.70
600030,CITIC Securities Co. Ltd.,CNY,3.00
601318,Ping An Insurance (Group) Company of China Ltd.,CNY,6.50
600276,Jiangsu Hengrui Pharmaceuticals Co. Ltd.,CNY,6.00
600900,China Yangtze Power Co. Ltd.,CNY,4.00
601166,Industrial Bank Co. Ltd.,CNY,2.50
600887,Inner Mongolia Yili Industrial Group Co. Ltd.,CNY,4.00
603288,Foshan Haitian Flavouring and Food Co. Ltd.,CNY,5.50
600309,Wanhua Chemical Group Co. Ltd.,CNY,11.00
601088,China Shenhua Energy Company Ltd.,CNY,5.50
600585,Anhui Conch Cement Company Ltd.,CNY,3.50
601668,China State Construction Engineering Corporation Ltd.,CNY,0.80
600048,Poly Developments and Holdings Group Co. Ltd.,CNY,1.20
601012,LONGi Green Energy Technology Co. Ltd.,CNY,2.50
600031,Sany Heavy Industry Co. Ltd.,CNY,2.30
600104,SAIC Motor Corporation Ltd.,CNY,2.00
601601,China Pacific Insurance (Group) Co. Ltd.,CNY,4.50
600009,Shanghai International Airport Co. Ltd.,CNY,5.00
600690,Haier Smart Home Co. Ltd.,CNY,3.70
601899,Zijin Mining Group Company Ltd.,CNY,2.30
600809,Shanxi Xinghuacun Fen Wine Factory Co. Ltd.,CNY,28.00
603259,WuXi AppTec Co. Ltd.,CNY,7.00
601633,Great Wall Motor Company Ltd.,CNY,3.00
600438,Tongwei Co. Ltd.,CNY,3.50
600570,Hundsun Technologies Inc.,CNY,3.00
601728,China Telecom Corporation Ltd.,CNY,1.00
600893,AECC Aviation Power Co. Ltd.,CNY,5.50
601390,China Railway Group Ltd.,CNY,0.80
600018,Shanghai International Port (Group) Co. Ltd.,CNY,0.90
601211,Guotai Junan Securities Co. Ltd.,CNY,2.00
600050,China United Network Communications Ltd.,CNY,0.70
600795,GD Power Development Co. Ltd.,CNY,0.70
600606,Greenland Holdings Corporation Ltd.,CNY,0.35
600588,Yonyou Network Technology Co. Ltd.,CNY,1.50
601336,New China Life Insurance Company Ltd.,CNY,4.20
